start_station_id,matched_station_name,borough,GEOID,latitude,longitude,capacity,total_rides_2025,avg_daily_rides,avg_member_share,avg_trip_duration_min,ebike_share,avg_weekday_rides,avg_weekend_rides,weekday_weekend_ratio,rides_per_dock,median_household_income,poverty_rate,no_vehicle_share,households_per_sqkm,nearest_subway_dist_m,subway_count_500m,nearest_subway_name,income_band,poverty_band
2708.07,73 St & Ridge Blvd,Brooklyn,36047006600,40.63349,-74.02976,16.0,488,5.483,0.7,14.03,0.656,4.762,7.231,0.66,0.34,98158.0,17.4,0.5513418903150525,11148.7,549.8,0.0,77 St,Mid-High,Elevated
2717.06,Shore Rd & 74 St,Brooklyn,36047003800,40.63414,-74.03699,12.0,589,6.266,0.701,13.81,0.635,7.149,4.074,1.75,0.52,135313.0,9.7,0.2013422818791946,4675.3,1085.2,0.0,77 St,Mid-High,Moderate
2733.03,67 St & Erik Pl,Brooklyn,36047012600,40.633385,-74.016562,25.0,1924,5.593,0.757,21.48,0.733,5.329,6.255,0.85,0.22,81477.0,18.8,0.4652466367713004,3779.9,449.3,1.0,8 Av,Mid-Low,Elevated
2743.04,68 St & 4 Ave,Brooklyn,36047006800,40.63537,-74.02342,16.0,538,6.725,0.822,10.89,0.459,6.655,6.909,0.96,0.42,80938.0,13.6,0.6524129505192425,8824.4,45.0,1.0,Bay Ridge Av,Mid-Low,Moderate
2754.05,Colonial Rd & 71 St,Brooklyn,36047003600,40.63537,-74.03202,14.0,155,3.37,0.714,8.47,0.645,3.667,2.615,1.4,0.24,91583.0,19.9,0.4725956566701138,15436.1,730.7,0.0,Bay Ridge Av,Mid-High,Elevated
2782.02,5 Ave & 67 St,Brooklyn,36047012600,40.63593237994821,-74.01975896253617,20.0,2635,7.444,0.732,19.03,0.691,7.111,8.277,0.86,0.37,81477.0,18.8,0.4652466367713004,3779.9,323.6,1.0,Bay Ridge Av,Mid-Low,Elevated
2793.07,Ovington Ave & 3 Ave,Brooklyn,36047006800,40.63487,-74.02625,16.0,916,9.443,0.829,12.42,0.729,9.493,9.321,1.02,0.59,80938.0,13.6,0.6524129505192425,8824.4,242.7,1.0,Bay Ridge Av,Mid-Low,Moderate
2818.01,Ditmas Ave & McDonald Ave,Brooklyn,36047047800,40.63548,-73.97825,23.0,159,4.676,0.8,18.76,0.516,4.577,5.0,0.92,0.2,60590.0,26.6,0.5784232365145229,5447.0,71.4,1.0,Ditmas Av,Mid-Low,High
2821.05,7 Ave & 62 St,Brooklyn,36047011800,40.63556,-74.01298,30.0,3344,9.187,0.787,15.4,0.732,8.801,10.165,0.87,0.31,62273.0,27.5,0.7267080745341615,2937.5,119.9,1.0,8 Av,Mid-Low,High
2832.03,4 Ave & Shore Road Dr,Brooklyn,36047012600,40.637033,-74.022141,20.0,2954,8.612,0.747,21.77,0.753,8.589,8.67,0.99,0.43,81477.0,18.8,0.4652466367713004,3779.9,252.3,1.0,Bay Ridge Av,Mid-Low,Elevated
