station_id,station_name,latitude,longitude,capacity,GEOID,median_household_income,total_households,households_no_vehicle,poverty_rate,no_vehicle_share,households_per_sqkm,nearest_subway_name,nearest_subway_dist_m,subway_count_500m
66dea6e1-0aca-11e7-82f6-3863bb44ef7c,E 58 St & Madison Ave,40.76302594280519,-73.97209525108337,66,36061011202,211563.0,313,217,2.5,0.6932907348242812,4012.4,5 Av/59 St,224.7,5
66db402c-0aca-11e7-82f6-3863bb44ef7c,Laight St & Hudson St,40.72185379,-74.00771779,87,36061003300,250001.0,2660,1592,3.5,0.5984962406015037,7785.1,Canal St,164.7,3
2119506830683992262,Varick St & Watts St,40.723635749203936,-74.006020305859,49,36061003700,250001.0,1934,1551,4.4,0.8019648397104446,5044.6,Canal St,89.6,4
305c221f-4e0b-4a5a-902c-3d1043dfe606,Newton Rd & 44 St,40.7595701,-73.9142678,19,36081015300,88636.0,944,580,13.2,0.614406779661017,7761.3,46 St,370.7,1
1947367330341251364,Marcy Ave & Gates Ave,40.686679,-73.947417,21,36047026500,82088.0,1977,1312,21.2,0.663631765300961,12386.6,Bedford-Nostrand Avs,610.3,0
6076e321-85d8-4e0e-ae18-86bb8cbbda1b,Featherbed Ln & Jerome Ave,40.845505,-73.914311,21,36005021700,36195.0,1939,1628,38.3,0.8396080453842186,12005.4,Mt Eden Av,123.2,3
1815968026870435892,Brooklyn Ave & Snyder Ave,40.64915,-73.94368,22,36047085600,79107.0,1365,535,14.6,0.3919413919413919,8605.0,Church Av,531.8,0
e34bb92f-6911-449a-999b-5bc80e0322fe,Hancock St & Stuyvesant Ave,40.68454,-73.9322,19,36047029500,94227.0,1886,608,23.7,0.3223753976670201,11459.1,Utica Av,588.8,0
0109f17a-2378-4500-9648-88bdb31ec612,Degraw St & 3 Ave,40.67977,-73.9847,35,36047011901,165179.0,576,281,11.8,0.4878472222222222,1284.5,Union St,304.0,1
fa14408f-6e88-4668-86ee-ce10ea707f36,Hudson St & N Moore St,40.719887998,-74.0086269379,69,36061003900,202542.0,2699,1355,18.6,0.5020377917747314,8152.3,Franklin St,159.8,4
66dd448f-0aca-11e7-82f6-3863bb44ef7c,E 84 St & Park Ave,40.77862688,-73.95772073,45,36061014000,220066.0,3967,2382,5.4,0.600453743382909,22148.2,86 St,203.6,1
66de5095-0aca-11e7-82f6-3863bb44ef7c,5 St & 6 Ave,40.6704836,-73.98208968,23,36047013700,170600.0,1498,1004,5.0,0.6702269692923899,9826.0,7 Av,492.0,1
1860188194745712748,Park Ave & E 179 St,40.85014,-73.89818,25,36005037900,50250.0,2212,1542,30.5,0.6971066907775768,11561.1,Tremont Av,593.5,0
dc34ba4c-d8e5-4674-a02e-210c950c05c1,Margaret Corbin Plz & Ft Washington Ave,40.859166,-73.933872,25,36061028100,143194.0,1459,925,4.3,0.6339958875942426,15483.6,190 St,30.5,1
fda0c217-9504-4b26-8a25-e40b603ee5fa,Nelson Ave & W 172 St,40.843965,-73.920999,20,36005021302,37049.0,2324,1759,41.4,0.7568846815834768,13729.9,170 St,509.8,0
1856766912456610780,34 Ave & 89 St,40.75437,-73.87833,27,36081027702,69521.0,1551,780,16.0,0.5029013539651838,15430.1,90 St-Elmhurst Av,678.5,0
b9d3134b-697f-4a0f-b90f-d95f6c69ffda,Decatur St & Saratoga Ave,40.68332,-73.91711,21,36047037300,71786.0,2012,1456,20.5,0.7236580516898609,11779.2,Halsey St,342.3,1
66dce567-0aca-11e7-82f6-3863bb44ef7c,McKibbin St & Manhattan Ave,40.70510918,-73.94407279,23,36047050500,57500.0,2052,1559,34.4,0.7597465886939572,12112.5,Lorimer St,313.1,2
66dc1beb-0aca-11e7-82f6-3863bb44ef7c,E 10 St & Ave A,40.72740794,-73.98142006,107,36061003200,101294.0,4746,3687,14.4,0.7768647281921618,21802.4,1 Av,394.6,1
648e09b6-95c2-40d3-9dac-a43f22eccf38,St Nicholas Ave & W 134 St,40.816234,-73.948222,27,36061021500,56884.0,1821,1518,19.4,0.8336079077429983,26123.3,135 St,190.8,1
1862008413697896912,E 180 St & Prospect Ave,40.84696,-73.88663,22,36005037100,39932.0,1769,1199,24.1,0.677784058790277,8926.3,West Farms Sq-E Tremont Av,925.0,0
e2b28abd-07a4-4552-ad17-abf155aff28a,44 St & 48 Ave,40.73941387498411,-73.92131969332695,24,36081018501,88027.0,1759,1031,10.0,0.5861284820920978,17854.2,46 St-Bliss St,479.6,1
844c68cc-19f0-474a-86d3-4af170117aae,Grand Concourse & E Mosholu Pkwy S,40.877964,-73.8847550291,21,36005041300,60254.0,3199,2007,28.1,0.6273835573616755,18453.1,Mosholu Pkwy,198.8,1
66dce5c9-0aca-11e7-82f6-3863bb44ef7c,Boerum St & Broadway,40.70538077,-73.94976519,19,36047051100,88457.0,1916,1438,19.6,0.7505219206680585,12050.0,Broadway,91.4,3
cad68b8c-6d68-4c5f-88fe-b1aa3e40727a,Bedford Ave & Maple St,40.66035,-73.95679,23,36047080000,95769.0,1398,736,13.7,0.5264663805436338,8049.3,Prospect Park,481.2,1
5db1fefa-0f10-4c58-a7ce-113f3164ced8,40 Ave & 9 St,40.75742,-73.945133,19,36081008500,82708.0,409,212,32.1,0.5183374083129584,1497.9,21 St-Queensbridge,406.7,1
93c28953-7e65-436e-9c5a-9d7ca0e3729f,Lexington Ave & E 36 St,40.7475739589548,-73.9788007736206,23,36061008000,177105.0,2830,2431,6.6,0.8590106007067138,16393.8,33 St,322.0,3
4bbf50a9-47c2-4a32-97c2-1f6bc4f9d401,E Fordham Rd & Webster Ave,40.861748,-73.89105,35,36005039700,31964.0,521,461,35.8,0.8848368522072937,991.9,Fordham Rd,565.6,0
de6f4206-3aa9-4cb9-aae0-8547d2cd6854,White St & Johnson Ave,40.707174,-73.93581,23,36047048500,130278.0,1046,645,25.2,0.6166347992351816,1798.7,Morgan Av,251.6,2
66de5e5b-0aca-11e7-82f6-3863bb44ef7c,Plaza St West & Flatbush Ave,40.6750207,-73.97111473,49,36047015900,201858.0,2613,1687,4.9,0.6456180635285113,10416.1,Grand Army Plaza,24.5,2
66db2d2b-0aca-11e7-82f6-3863bb44ef7c,Clinton St & Joralemon St,40.69239502,-73.99337909,50,36047000700,201827.0,2043,1359,4.1,0.6651982378854625,11557.1,Court St,232.8,3
1d130e43-0408-4423-bb52-77a08372cefa,5 Ave & W 126 St,40.80722,-73.9418,27,36061020800,73197.0,2235,1659,23.5,0.7422818791946308,15043.8,125 St,316.6,2
285ad3c2-3ffe-45bb-8765-9c20a69641a6,27 Ave & 3 St,40.77485,-73.9342,19,36081008700,,1695,1341,36.2,0.7911504424778761,6689.6,30 Av,1397.5,0
550153a5-2ea1-4c76-b1cd-77667005f55d,Ditmars Blvd & 19 St,40.78145,-73.9183302,27,36081009900,,0,0,,,0.0,Astoria-Ditmars Blvd,888.7,0
90c35466-db3c-4b0d-993e-6e92883773b4,6 Ave & Broome St,40.72431,-74.00473,72,36061003700,250001.0,1934,1551,4.4,0.8019648397104446,5044.6,Canal St,207.9,4
bbb48e80-7d2f-4b3c-bb8c-591bc931945a,Albemarle Rd & McDonald Ave,40.645074,-73.979681,20,36047049600,66920.0,1298,745,27.1,0.573959938366718,6395.0,Church Av,114.9,1
d7d297fd-36dc-42f2-8e3b-24b1003be874,21 Ave & 80 St,40.770888,-73.889914,19,36081031700,75591.0,2338,433,21.3,0.1852010265183918,3045.7,Astoria-Ditmars Blvd,1918.9,0
df243d7f-e6ae-435c-9895-aecbcff9cada,Prospect Ave & Longwood Ave,40.81899,-73.90202,29,36005007900,43081.0,2225,1583,31.3,0.7114606741573034,11241.1,Prospect Av,69.4,1
66dea674-0aca-11e7-82f6-3863bb44ef7c,Jackson St & Leonard St,40.71638031973561,-73.94821286201477,22,36047050100,126696.0,1511,849,15.0,0.5618795499669094,8749.9,Lorimer St,310.8,3
c809158b-ca8f-4a77-a800-8ee9d287c056,Crotona Park North & Prospect Ave,40.841092,-73.892317,19,36005016300,,0,0,,,0.0,174 St,572.3,0
4034789e-b70d-4aae-bf18-3ed37a4d751f,20 Ave & Shore Blvd,40.785994,-73.915098,19,36081010701,,0,0,,,0.0,Astoria-Ditmars Blvd,1245.5,0
45865207-8700-4ef2-99ed-b08889ef0250,18 St & 27 Ave,40.772768286288304,-73.92743647098541,23,36081008300,94803.0,963,584,12.2,0.6064382139148494,5033.0,30 Av,833.8,0
1838070776953752336,34 Ave & 108 St,40.75614,-73.86084,23,36081038100,83654.0,1762,883,19.9,0.5011350737797957,6175.6,111 St,675.0,0
4b67c6e0-d603-4fbc-afbe-0b8952f4f7af,E 161 St & River Ave,40.827883,-73.927111,38,36005006302,,0,0,,,0.0,161 St-Yankee Stadium,108.4,2
c0c6a931-c1d3-4202-a433-c4127a4cd846,Westchester Ave & Southern Blvd,40.824956,-73.891677,21,36005012701,34688.0,745,418,33.6,0.5610738255033557,6852.6,Simpson St,152.5,3
66de099d-0aca-11e7-82f6-3863bb44ef7c,W 100 St & Manhattan Ave,40.795,-73.9645,39,36061018900,44263.0,4625,3850,31.9,0.8324324324324325,17426.3,103 St,283.7,2
a4bb6fac-b795-4aa7-a266-613419019290,Gerard Ave & E 164 St,40.830262,-73.923391,19,36005019500,45661.0,2703,2245,39.7,0.8305586385497595,12295.1,161 St-Yankee Stadium,323.8,2
5c3c345d-1975-400d-a9d8-18815816886e,5 Ave & E 30 St,40.7459849,-73.98629487,56,36061007400,215511.0,2825,2437,13.5,0.8626548672566372,16227.7,28 St,209.1,5
88e64257-298c-4b8d-8886-77b9b66dcec1,W 50 St & 10 Ave,40.764734200065185,-73.99194359779358,55,36061012902,128625.0,1250,1052,18.9,0.8416,6018.6,50 St,562.2,0
66dbe8d6-0aca-11e7-82f6-3863bb44ef7c,Centre St & Chambers St,40.71273266,-74.0046073,57,36061003100,189250.0,823,722,14.1,0.8772782503037667,4015.2,Brooklyn Bridge-City Hall,54.6,11
66dded7a-0aca-11e7-82f6-3863bb44ef7c,6 Ave & 12 St,40.6663181,-73.9854617,29,36047013900,173378.0,1430,764,6.0,0.5342657342657343,9449.5,7 Av,435.0,1
66dc1c5c-0aca-11e7-82f6-3863bb44ef7c,W 24 St & 7 Ave,40.74487634,-73.99529885,79,36061009100,160866.0,3801,3191,14.4,0.8395159168639832,21223.0,23 St,93.4,5
623c9658-5544-4254-847e-738763cf45a3,36 St & 47 Ave,40.74221834996096,-73.92935156822205,19,36081018900,93333.0,1374,684,9.1,0.4978165938864629,6311.3,33 St-Rawson St,297.6,2
66dbbc4a-0aca-11e7-82f6-3863bb44ef7c,Bank St & Hudson St,40.73652889,-74.00618026,27,36061007900,200079.0,2437,1868,6.8,0.766516208453016,8887.6,Christopher St-Stonewall,442.1,2
66db2db5-0aca-11e7-82f6-3863bb44ef7c,Nassau St & Navy St,40.69839895,-73.98068914,58,36047002300,34977.0,1475,1229,33.4,0.8332203389830508,8094.9,York St,610.1,0
e1886e7a-62b1-4359-9835-8ab5a16371ae,Grand Concourse & E 175 St,40.84627592921954,-73.90931278467178,24,36005022901,52222.0,1970,1579,30.3,0.801522842639594,16161.7,174-175 Sts,80.9,3
bb32aad7-8308-4ff8-b073-d5b518ffdd09,W 120 St & Claremont Ave,40.8109494,-73.9634,39,36061020500,196576.0,1197,671,9.4,0.5605680868838764,4258.0,116 St-Columbia University,363.8,1
66ddd369-0aca-11e7-82f6-3863bb44ef7c,Mercer St & Bleecker St,40.72706363348306,-73.99662137031554,67,36061005501,214306.0,2001,1315,11.8,0.6571714142928535,16079.1,Broadway-Lafayette St,199.6,4
66dc4599-0aca-11e7-82f6-3863bb44ef7c,S 3 St & Bedford Ave,40.71260486,-73.96264403,25,36047055100,171952.0,3279,2311,16.7,0.7047880451357121,14158.9,Marcy Av,626.6,0
66dc192f-0aca-11e7-82f6-3863bb44ef7c,Bedford Ave & S 9 St,40.70853074,-73.96408963,23,36047054700,87047.0,2914,2209,9.8,0.7580645161290323,17131.6,Marcy Av,534.1,0
