GEOID,tract_name,median_household_income,total_households,households_no_vehicle,poverty_rate,no_vehicle_share
1400000US36047007100,,53786,1631,1238,20.5,0.7590435315757205
1400000US36047007200,,64000,570,389,27.8,0.6824561403508772
1400000US36047007400,,73454,1568,1062,20.7,0.6772959183673469
1400000US36047007500,,169375,2101,1138,16.7,0.5416468348405521
1400000US36047007600,,73681,1280,910,14.7,0.7109375
1400000US36047007700,,212827,2901,1676,5.2,0.5777318166149603
1400000US36047007800,,79981,1387,1008,21.8,0.7267483777937995
1400000US36047008000,,71250,1458,941,20.0,0.6454046639231824
1400000US36047008200,,53500,1476,1025,31.0,0.6944444444444444
1400000US36047008400,,116100,1064,696,11.4,0.6541353383458647
1400000US36047008500,,27854,2995,2648,36.8,0.8841402337228714
1400000US36047008600,,,0,0,,
1400000US36047008800,,95707,1193,894,16.2,0.7493713327745181
1400000US36047009001,,45945,472,343,25.2,0.7266949152542372
1400000US36047009002,,62225,397,273,5.6,0.6876574307304786
1400000US36047009201,,83824,586,294,23.6,0.5017064846416383
1400000US36047009202,,53641,1019,772,29.7,0.7576054955839058
1400000US36047009401,,49620,499,267,41.5,0.5350701402805611
1400000US36047009402,,85929,937,458,21.7,0.4887940234791889
1400000US36047009600,,83664,1932,1184,21.3,0.6128364389233955
1400000US36047009800,,60679,1835,1284,28.1,0.6997275204359673
1400000US36047010000,,57881,1840,1198,23.5,0.6510869565217391
1400000US36047010100,,136705,1579,740,16.7,0.46865104496516785
1400000US36047010200,,65668,1297,897,23.4,0.6915959907478797
1400000US36047010401,,56875,607,472,29.9,0.7775947281713345
1400000US36047010402,,40255,704,572,41.5,0.8125
1400000US36047010601,,45106,562,407,36.7,0.7241992882562278
1400000US36047010602,,65372,610,351,10.5,0.5754098360655737
1400000US36047010801,,66143,564,406,29.6,0.7198581560283688
1400000US36047010802,,69479,679,379,27.4,0.5581737849779087
1400000US36047011000,,86932,650,351,14.7,0.54
1400000US36047011200,,60348,2096,1336,23.4,0.6374045801526718
